source_file,label,cycle,n_samples,mean_adc_tgs822,max_adc_tgs822,sum_adc_tgs822,mean_adc_mq135,max_adc_mq135,sum_adc_mq135,mean_adc_mq9,max_adc_mq9,sum_adc_mq9,mean_adc_tgs2611,max_adc_tgs2611,sum_adc_tgs2611,mean_adc_tgs2620,max_adc_tgs2620,sum_adc_tgs2620,mean_adc_tgs2600,max_adc_tgs2600,sum_adc_tgs2600,mean_adc_tgs2602,max_adc_tgs2602,sum_adc_tgs2602,mean_adc_mq8,max_adc_mq8,sum_adc_mq8,mean_adc_tgs813,max_adc_tgs813,sum_adc_tgs813,mean_adc_tgs816,max_adc_tgs816,sum_adc_tgs816,ratio_to_mq135_adc_tgs822,ratio_to_mq135_adc_mq9,ratio_to_mq135_adc_tgs2611,ratio_to_mq135_adc_tgs2620,ratio_to_mq135_adc_tgs2600,ratio_to_mq135_adc_tgs2602,ratio_to_mq135_adc_mq8,ratio_to_mq135_adc_tgs813,ratio_to_mq135_adc_tgs816,ratio_to_tgs822_adc_mq135,ratio_to_tgs822_adc_mq9,ratio_to_tgs822_adc_tgs2611,ratio_to_tgs822_adc_tgs2620,ratio_to_tgs822_adc_tgs2600,ratio_to_tgs822_adc_tgs2602,ratio_to_tgs822_adc_mq8,ratio_to_tgs822_adc_tgs813,ratio_to_tgs822_adc_tgs816,std_adc_tgs822,std_adc_mq135,std_adc_mq9,std_adc_tgs2611,std_adc_tgs2620,std_adc_tgs2600,std_adc_tgs2602,std_adc_mq8,std_adc_tgs813,std_adc_tgs816,peak_to_base_adc_tgs822,peak_to_base_adc_mq135,peak_to_base_adc_mq9,peak_to_base_adc_tgs2611,peak_to_base_adc_tgs2620,peak_to_base_adc_tgs2600,peak_to_base_adc_tgs2602,peak_to_base_adc_mq8,peak_to_base_adc_tgs813,peak_to_base_adc_tgs816,onset_adc_tgs822_slope,onset_adc_tgs822_rise_drop,onset_adc_mq135_slope,onset_adc_mq135_rise_drop,onset_adc_mq9_slope,onset_adc_mq9_rise_drop,onset_adc_tgs2611_slope,onset_adc_tgs2611_rise_drop,onset_adc_tgs2620_slope,onset_adc_tgs2620_rise_drop,onset_adc_tgs2600_slope,onset_adc_tgs2600_rise_drop,onset_adc_tgs2602_slope,onset_adc_tgs2602_rise_drop,onset_adc_mq8_slope,onset_adc_mq8_rise_drop,onset_adc_tgs813_slope,onset_adc_tgs813_rise_drop,onset_adc_tgs816_slope,onset_adc_tgs816_rise_drop,decay_adc_tgs822_slope,decay_adc_tgs822_rise_drop,decay_adc_mq135_slope,decay_adc_mq135_rise_drop,decay_adc_mq9_slope,decay_adc_mq9_rise_drop,decay_adc_tgs2611_slope,decay_adc_tgs2611_rise_drop,decay_adc_tgs2620_slope,decay_adc_tgs2620_rise_drop,decay_adc_tgs2600_slope,decay_adc_tgs2600_rise_drop,decay_adc_tgs2602_slope,decay_adc_tgs2602_rise_drop,decay_adc_mq8_slope,decay_adc_mq8_rise_drop,decay_adc_tgs813_slope,decay_adc_tgs813_rise_drop,decay_adc_tgs816_slope,decay_adc_tgs816_rise_drop
interactive_20260826_174451,light,1,360,13837.947222222225,14997.0,4981661.0,2890.427777777778,2892.0,1040554.0,2877.725,2881.0,1035981.0,7293.980555555556,7333.0,2625833.0,10505.919444444444,10619.0,3782131.0,2879.455555555556,2882.0,1036604.0,7684.952777777778,7799.0,2766583.0,15676.552777777775,15888.0,5643559.0,13036.78611111111,13407.0,4693243.0,14063.413888888888,14191.0,5062829.0,5.185684647302905,0.9961964038727524,2.5356154910096818,3.671853388658368,0.9965421853388658,2.696749654218534,5.493775933609959,4.635892116182573,4.906984785615491,0.1928385677135427,0.1921050876842035,0.4889644595585783,0.7080749483229979,0.1921717676868707,0.5200373408014937,1.059411882376475,0.8939787957591518,0.9462559178502368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interactive_20260826_174451,medium,2,360,15710.494444444445,16644.0,5655778.0,2892.583333333333,2896.0,1041330.0,2876.1833333333334,2878.0,1035426.0,7279.25,7297.0,2620530.0,10962.355555555556,11284.0,3946448.0,2880.266666666667,2884.0,1036896.0,7862.1194444444445,8111.0,2830363.0,16744.216666666667,17165.0,6027918.0,14394.633333333331,15311.0,5182068.0,14739.644444444444,15231.0,5306272.0,5.747237569060774,0.9937845303867404,2.519682320441989,3.8964088397790055,0.9958563535911602,2.800759668508287,5.9271408839779,5.286947513812155,5.259323204419889,0.1739966354241768,0.1729151646238884,0.4384162460946887,0.6779620283585677,0.1732756548906512,0.487322758952175,1.031302571497236,0.919911079067532,0.9151045421773611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interactive_20260828_152000,light,1,361,13276.393351800554,14127.0,4792778.0,2905.315789473684,2914.0,1048819.0,2891.925207756233,2901.0,1043985.0,8534.235457063713,8743.0,3080859.0,8672.983379501386,8931.0,3130947.0,2893.462603878116,2901.0,1044540.0,7078.5207756232685,7255.0,2555346.0,14393.146814404432,14941.0,5195926.0,10051.468144044322,11088.0,3628580.0,11651.27700831025,12092.0,4206111.0,4.847975291695264,0.9955387783115992,3.000343170899108,3.0648592999313657,0.9955387783115992,2.4897048730267675,5.127316403568978,3.8050789293067946,4.149622512010981,0.2062716783464288,0.2053514546612869,0.6188858214766051,0.6321936716925037,0.2053514546612869,0.5135556027465138,1.0576201599773485,0.784880016988745,0.8559496000566291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interactive_20260828_152000,light,2,360,13822.08888888889,14756.0,4975952.0,2897.858333333333,2904.0,1043229.0,2884.1583333333333,2890.0,1038297.0,7931.872222222222,8234.0,2855474.0,8683.68888888889,8868.0,3126128.0,2891.186111111111,2894.0,1040827.0,7068.569444444444,7203.0,2544685.0,14799.325,15303.0,5327757.0,10710.597222222224,11648.0,3855815.0,11872.480555555556,12204.0,4274093.0,5.081267217630854,0.9951790633608816,2.8353994490358128,3.053719008264463,0.9965564738292012,2.480371900826446,5.269628099173554,4.011019283746556,4.202479338842975,0.1968013011656275,0.195852534562212,0.5580103008945514,0.600975874220656,0.1961236107346164,0.4881404174573055,1.037069666576308,0.7893738140417458,0.8270534020059637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interactive_20260828_152000,light,3,361,13375.429362880886,14569.0,4828530.0,2892.836565096953,2900.0,1044314.0,2881.185595567867,2886.0,1040108.0,7305.041551246537,7537.0,2637120.0,8688.041551246537,8917.0,3136383.0,2888.24376731302,2892.0,1042656.0,7131.168975069252,7234.0,2574352.0,14735.481994459831,15308.0,5319509.0,10644.310249307478,11560.0,3842596.0,11921.936288088642,12293.0,4303819.0,5.023793103448276,0.9951724137931034,2.59896551724138,3.0748275862068963,0.9972413793103448,2.494482758620689,5.278620689655172,3.986206896551724,4.238965517241379,0.1990527833070217,0.1980918388358844,0.51733131992587,0.6120529892236941,0.1985036721806575,0.496533736014826,1.0507241402978929,0.793465577596266,0.8437778845493857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interactive_20260828_154459,medium,1,361,17271.770083102492,18468.0,6235109.0,2896.1357340720224,2899.0,1045505.0,2877.537396121884,2881.0,1038791.0,6817.684210526316,7084.0,2461184.0,9949.279778393353,11021.0,3591690.0,2885.6897506925206,2891.0,1041734.0,7355.7783933518,7753.0,2655436.0,17393.515235457064,18269.0,6279059.0,15073.50138504155,17403.0,5441534.0,14014.329639889196,15295.0,5059173.0,6.370472576750604,0.993790962400828,2.44360124180752,3.8016557433597793,0.9972404277337013,2.6743704725767508,6.301828216626423,6.003104518799586,5.275957226629872,0.1569742256876759,0.1559995668182802,0.3835824128221789,0.5967619666450076,0.1565410439679445,0.4198072341347195,0.9892246047216808,0.9423326835607536,0.8281893004115226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interactive_20260828_154459,medium,2,360,16790.244444444445,17867.0,6044488.0,2894.7,2897.0,1042092.0,2877.4805555555554,2879.0,1035893.0,6529.302777777778,6632.0,2350549.0,9599.041666666666,10088.0,3455655.0,2884.188888888889,2889.0,1038308.0,7243.875,7434.0,2607795.0,17100.225,17793.0,6156081.0,13824.116666666669,15130.0,4976682.0,13446.080555555556,14191.0,4840589.0,6.1674145667932345,0.9937866758715912,2.2892647566448048,3.482222989299275,0.997238522609596,2.5661028650327924,6.141870900931998,5.222644114601311,4.898515705902658,0.1621424973414675,0.1611350534504953,0.3711871047181955,0.5646163317848547,0.1616947445010354,0.4160743269715117,0.9958582862260033,0.8468125594671742,0.7942575698214586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interactive_20260828_154459,light,3,360,12926.41111111111,13293.0,4653508.0,2888.788888888889,2893.0,1039964.0,2877.402777777778,2881.0,1035865.0,6655.305555555556,6765.0,2395910.0,9055.486111111111,9188.0,3259975.0,2882.083333333333,2889.0,1037550.0,7433.947222222222,7541.0,2676221.0,14581.663888888888,14932.0,5249399.0,10758.422222222222,11517.0,3873032.0,12310.769444444444,12620.0,4431877.0,4.594884203249222,0.9958520566885586,2.338403041825095,3.17594192879364,0.9986173522295196,2.6066367092983063,5.161424127203595,3.9809885931558937,4.362253715865883,0.2176333408560896,0.216730610095539,0.5089144662604378,0.6911908523282931,0.2173324306025728,0.5672910554427142,1.1232979763785451,0.8663958474385015,0.9493718498457836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interactive_20260903_154425,light,1,240,13169.466666666667,13699.0,,2914.758333333333,2919.0,,2902.2875,2908.0,,9441.808333333332,9476.0,,8875.716666666667,8977.0,,2900.570833333333,2906.0,,7161.2625,7220.0,,14510.7875,14879.0,,10631.254166666668,11209.0,,12198.120833333332,12461.0,,4.693045563549161,0.9962315861596436,3.2463172319287428,3.0753682768071258,0.9955464200068516,2.473449811579308,5.097293593696471,3.840013703323056,4.26892771497088,,,,,,,,,,521.7679782738898,2.0719115073481618,1.9823093121924795,29.92607232401172,71.96206384751525,2.426144067211901,23.16219529308436,251.4243288716022,454.3787219876373,159.29603892137132,0.2999455944126727,0.0033456312014481,0.0024129610479145,0.0041539504916921,0.0638272658323853,0.0021380784881715,0.0303099491980135,0.1043568618718919,0.2905961911926127,0.0852701925924206,5.273684210526317,24.0,0.0624060150375939,-1.0,-0.0090225563909774,0.0,-0.0518796992481203,0.0,-0.7218045112781954,-4.0,-0.0721804511278195,0.0,-0.7421052631578947,-3.0,3.554887218045113,15.0,3.8345864661654137,17.0,1.1533834586466165,7.0,-99.12932330827068,-171.0,-0.125563909774436,0.0,-0.0969924812030075,-4.0,-0.2451127819548872,0.0,-12.71654135338346,-23.0,-0.0037593984962406,-2.0,-4.58421052631579,-16.0,-26.68421052631579,-37.0,-53.89022556390978,-53.0,-19.657894736842103,-55.0
interactive_20260903_154425,medium,2,240,15388.5,16675.0,,2914.4791666666665,2919.0,,2898.5291666666667,2903.0,,9288.3625,9412.0,,9565.366666666669,10218.0,,2894.704166666667,2900.0,,7429.745833333333,7924.0,,15856.391666666666,16325.0,,13099.033333333333,14874.0,,13374.258333333331,13917.0,,5.712572798903734,0.9945186707776636,3.224391915039397,3.500513874614594,0.9934909215484756,2.7146282973621103,5.592668722165125,5.095580678314492,4.767728674203495,,,,,,,,,,982.0114699924094,2.2795211944335345,1.6539490378499395,78.69573477354486,308.1994934365285,2.7534655480697867,127.07095332615935,502.2789952323349,1132.038627852948,418.55288645369166,0.5434955662106374,0.0037596570459182,0.0014028148284426,0.0158880925654089,0.1689827173299572,0.0020963394687737,0.1039491770999739,0.1641367441727795,0.5812750274637655,0.1614922383575363,-13.650375939849624,411.0,-0.0368421052631579,-1.0,-0.0481203007518797,-4.0,-1.8781954887218049,-1.0,-19.10375939849624,45.0,-0.0924812030075188,1.0,-16.950375939849625,-128.0,11.05714285714286,452.0,-10.833082706766918,844.0,-2.4781954887218047,155.0,-164.23082706766917,-334.0,-0.0954887218045112,0.0,0.0293233082706766,-3.0,-0.7353383458646617,-4.0,-32.27218045112782,-104.0,-0.0218045112781954,0.0,-10.93984962406015,-63.0,-55.4593984962406,-120.0,-118.99624060150376,-225.0,-47.79924812030075,-187.0
