label,phase,cycle,sample_idx,timestamp,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,source_file
medium,collecting,1,1,2177,9189,2850,2842,12382,11760,2832,10101,14306,16296,13818,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,2,3176,9190,2854,2842,12382,11759,2832,10100,14302,16296,13817,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,3,4176,9194,2850,2845,12383,11758,2833,10099,14299,16295,13814,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,4,5176,9199,2850,2842,12383,11757,2835,10099,14296,16294,13814,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,5,6176,9462,2850,2843,12383,11788,2832,10151,14313,16302,13911,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,6,7176,11272,2852,2843,12384,12000,2834,10485,14596,16441,14338,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,7,8176,13515,2858,2844,12387,12331,2837,10919,15212,16823,14853,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,8,9177,15299,2860,2841,12391,12682,2836,11341,16015,17357,15342,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,9,10176,16224,2859,2845,12395,12901,2835,11515,16629,17818,15600,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,10,11176,16705,2859,2845,12397,13047,2833,11590,17001,18100,15827,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,11,12176,17100,2859,2845,12398,13185,2837,11706,17318,18301,16057,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,12,13176,17448,2862,2845,12401,13313,2837,11821,17627,18482,16243,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,13,14176,17644,2863,2843,12401,13392,2838,11833,17834,18612,16346,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,14,15176,17749,2864,2844,12401,13444,2834,11817,17959,18683,16425,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
medium,collecting,1,15,16177,17803,2865,2841,12400,13477,2834,11793,18030,18716,16479,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\medium_20260811_172251.csv
